index,length_km,width_km,depth_km,dip,strike,lat,lon,s_slip_m,d_slip_m,easting_utm48,northing_utm48
498,3.8829,4,1.8614,27.73,-136.29,31.5229,104.1849,1.11182,2.49106,422612.2619674406,3487842.560776619
499,3.8819,4,3.7228,27.73,-136.3,31.5449,104.1579,0.94157,2.23943,420067.47340079106,3490300.4211027157
500,3.8811,4,5.5841,27.73,-136.31,31.5669,104.1309,0.8125399999999999,2.008,417523.89125925925,3492758.9371101432
501,3.8803,4,7.4455,27.73,-136.32,31.5889,104.1039,0.72956,1.8429200000000001,414981.51645796915,3495218.109522125
502,3.8797,4,9.3069,27.73,-136.33,31.6109,104.0768,0.68835,1.75226,412430.86414918787,3497678.019175086
503,3.8819,4,1.8614,27.73,-136.28,31.4977,104.1566,0.9953,2.359,419903.807695531,3485069.741545543
504,3.8805,4,3.7228,27.73,-136.29,31.5197,104.1296,0.87617,2.15416,417358.9386226312,3487528.2539236885
505,3.8793,4,5.5841,27.73,-136.31,31.5417,104.1026,0.77779,1.94136,414815.2752493594,3489987.422244912
506,3.8781,4,7.4455,27.73,-136.32,31.5637,104.0756,0.7135800000000001,1.78401,412272.81849195086,3492447.2472330537
507,3.877,4,9.3069,27.73,-136.34,31.5856,104.0486,0.6868,1.7073,409731.4728566526,3494896.6453918642
508,3.8839,4,1.8614,27.73,-136.27,31.4724,104.1284,0.8881100000000001,2.26569,417203.3296048852,3482286.4489343544
509,3.8825,4,3.7228,27.73,-136.29,31.4944,104.1014,0.8185,2.0828,414658.37432864937,3484745.6106330142
510,3.8811,4,5.5841,27.73,-136.3,31.5164,104.0744,0.75999,1.8856600000000001,412114.6240223957,3487205.4285350293
511,3.8797,4,7.4455,27.73,-136.32,31.5384,104.0474,0.72189,1.73728,409572.0796034741,3489665.9033648646
512,3.8783,4,9.3069,27.73,-136.33,31.5604,104.0203,0.70825,1.6683599999999998,407021.2510366329,3492127.120789109
513,3.8829,4,1.8614,27.73,-136.26,31.4472,104.1001,0.82286,2.19151,414492.00533613417,3479514.9983058
514,3.8815,4,3.7228,27.73,-136.28,31.4692,104.0731,0.78827,2.02182,411946.9681146357,3481974.8114782344
515,3.8801,4,5.5841,27.73,-136.29,31.4912,104.0461,0.76198,1.83787,409403.1351374055,3484435.281118581
516,3.8788,4,7.4455,27.73,-136.31,31.5132,104.0191,0.7481,1.6996900000000001,406860.5073229038,3486896.407951922
517,3.8774,4,9.3069,27.73,-136.32,31.5352,103.9921,0.74472,1.6348099999999999,404319.08559106814,3489358.1927015497
518,3.8849,4,1.8614,27.73,-136.26,31.422,104.0718,0.7852899999999999,2.09579,411779.2479936136,3476744.231724193
519,3.8835,4,3.7228,27.73,-136.27,31.444,104.0448,0.77617,1.9474000000000002,409234.12810388947,3479204.696082489
520,3.8821,4,5.5841,27.73,-136.29,31.466,104.0178,0.77416,1.7850000000000001,406690.2117326043,3481665.8171746596
521,3.8807,4,7.4455,27.73,-136.3,31.488,103.9909,0.77689,1.6611500000000001,404156.99811864545,3484127.508336378
522,3.8793,4,9.3069,27.73,-136.31,31.51,103.9638,0.77776,1.5995599999999999,401605.99322514364,3486590.0324616414
523,3.8839,4,1.8614,27.73,-136.25,31.3967,104.0435,0.72817,1.9759300000000002,409064.9623785475,3473963.0643047136
524,3.8825,4,3.7228,27.73,-136.26,31.4188,104.0166,0.75919,1.85668,406529.3607754236,3476435.1784104966
525,3.8812,4,5.5841,27.73,-136.28,31.4408,103.9896,0.7854099999999999,1.7217,403985.3581011542,3478896.9482978727
526,3.88,4,7.4455,27.73,-136.29,31.4628,103.9626,0.80041,1.6121500000000002,401442.5591395221,3481359.3759109545
527,3.8788,4,9.3069,27.73,-136.31,31.4848,103.9356,0.798,1.5538,398900.9648126917,3483822.4619742744
528,3.8859,4,1.8614,27.73,-136.24,31.3715,104.0152,0.62841,1.8749600000000002,406349.33972516016,3471193.6628816784
529,3.9093,4,3.7228,27.73,-136.26,31.3934,103.9882,0.73236,1.7689000000000001,403803.9475683057,3473644.3446842656
530,3.9327,4,5.5841,27.73,-136.28,31.4154,103.9611,0.7894800000000001,1.65534,401250.3509659702,3476106.85750849
531,3.9559,4,7.4455,27.73,-136.29,31.4373,103.9341,0.8109,1.55148,398707.3576573909,3478558.856706699
532,3.9791,4,9.3069,27.73,-136.31,31.4592,103.907,0.79576,1.49305,396156.0613170592,3481011.609064219
533,3.8733,4,1.8614,27.73,-137.04,31.3458,103.9868,0.6690499999999999,1.75755,403622.2651297532,3468369.6105312626
534,3.897,4,3.7228,27.73,-137.05,31.3676,103.9596,0.7245900000000001,1.6903,401057.6478148861,3470810.0404229946
535,3.9207,4,5.5841,27.73,-137.06,31.3894,103.9324,0.77659,1.59378,398494.2293034359,3473251.13704262
536,3.9443,4,7.4455,27.73,-137.07,31.4111,103.9052,0.7851,1.4819300000000002,395931.9001048172,3475681.816970725
537,3.9678,4,9.3069,27.73,-137.08,31.4329,103.8779,0.7518300000000001,1.42188,393361.3750572269,3478124.3462342694
538,3.8732,4,1.8614,27.73,-137.04,31.3203,103.9591,0.66112,1.6887400000000001,400960.5457438107,3465567.7816162133
539,3.8718,4,3.7228,27.73,-137.05,31.342,103.9318,0.68761,1.64077,398386.1901867357,3467997.860048534
540,3.8705,4,5.5841,27.73,-137.07,31.3637,103.9045,0.71928,1.5457,395813.0313598231,3470428.610080486
541,3.8693,4,7.4455,27.73,-137.08,31.3854,103.8772,0.708,1.41544,393241.07016031287,3472860.032447866
542,3.8681,4,9.3069,27.73,-137.1,31.4071,103.8498,0.6687000000000001,1.35873,390660.80079590256,3475292.227346003
543,3.8743,4,1.8614,27.73,-137.02,31.2949,103.9313,0.64146,1.66419,398288.0034871197,3462777.7794260606
544,3.8733,4,3.7228,27.73,-137.04,31.3165,103.904,0.63161,1.61809,395713.41904377344,3465197.4186570644
545,3.8723,4,5.5841,27.73,-137.05,31.3382,103.8767,0.6275900000000001,1.5195699999999999,393140.13797840226,3467628.8136552977
546,3.8712,4,7.4455,27.73,-137.06,31.3599,103.8494,0.60133,1.37749,390568.0537867893,3470060.881243223
547,3.8702,4,9.3069,27.73,-137.08,31.3816,103.8221,0.57592,1.32793,387997.16736878146,3472493.622155568
548,3.875,4,1.8614,27.73,-137.04,31.2694,103.9035,0.63766,1.6799000000000002,395613.94016331155,3459977.3476549434
549,3.8736,4,3.7228,27.73,-137.05,31.291,103.8762,0.60081,1.62213,393039.23083211563,3462397.6312903194
550,3.8722,4,5.5841,27.73,-137.06,31.3127,103.849,0.5666599999999999,1.52156,390475.343039831,3464829.571582859
551,3.8708,4,7.4455,27.73,-137.08,31.3344,103.8217,0.5314800000000001,1.38696,387903.13302447356,3467262.281692577
552,3.8695,4,9.3069,27.73,-137.09,31.3561,103.7944,0.5246900000000001,1.34507,385332.12002946896,3469695.665381186
553,3.8753,4,1.8614,27.73,-137.01,31.2439,103.8757,0.67196,1.7444000000000002,392938.46167944046,3457177.569241226
554,3.8736,4,3.7228,27.73,-137.02,31.2656,103.8485,0.63275,1.6701700000000002,390373.26335020596,3459609.4816579376
555,3.8718,4,5.5841,27.73,-137.03,31.2873,103.8212,0.6057100000000001,1.56457,387799.73641426925,3462042.1633720994
556,3.8706,4,7.4455,27.73,-127.35,31.309,103.7939,0.57335,1.44261,385227.40484727244,3464475.518187793
557,3.873,4,9.3069,27.73,-127.46,31.3306,103.7666,0.5581200000000001,1.40272,382656.1454604149,3466898.462571195
558,3.8751,4,1.8614,27.73,-137.01,31.2184,103.848,0.74063,1.84156,390271.09493334853,3454378.3439243776
559,3.8737,4,3.7228,27.73,-137.02,31.2401,103.8207,0.70988,1.76602,387696.24997280526,3456810.9970788467
560,3.9343,4,5.5841,27.73,-137.05,31.2616,103.7932,0.70852,1.65623,385103.3135673336,3459222.3628041
561,2.6902,4,7.4455,27.73,-127.35,31.2925,103.7735,0.6890700000000001,1.52437,383265.65971664176,3462668.0436667027
562,2.3688,4,9.3069,27.73,-127.46,31.315,103.7475,0.6585,1.4735,380819.21307966765,3465189.815067943
563,3.8762,4,1.8614,27.73,-136.99,31.1929,103.8202,0.8404,1.95788,387592.7923910393,3451579.8669485357
564,3.2525,4,3.7228,27.73,-139.01,31.2155,103.7948,0.80113,1.8804400000000001,385199.9075607283,3454110.9449134762
565,2.5731,4,5.5841,27.73,-142.67,31.237,103.7686,0.8026900000000001,1.76431,382730.632135029,3456521.5331685855
566,2.6905,4,7.4455,27.73,-127.34,31.2778,103.751,0.8018099999999999,1.60715,381105.5778786488,3461062.6968687
567,2.369,4,9.3069,27.73,-127.46,31.3021,103.7277,0.7627999999999999,1.5478800000000001,378918.5128401629,3463781.519553138
568,3.5392,4,1.8614,27.73,-116.34,31.1799,103.8003,0.95605,2.03786,385681.0362767746,3450159.3463406484
569,2.9154,4,3.7228,27.73,-114.11,31.2073,103.7825,0.91524,1.97711,384018.19215980335,3453214.893762938
570,2.2436,4,5.5841,27.73,-109.95,31.235,103.7662,0.90544,1.8586600000000002,382499.5817213009,3456302.4012845075
571,2.6908,4,7.4455,27.73,-127.34,31.2631,103.7285,0.8843300000000001,1.69473,378944.8304789375,3459457.7776924237
572,2.3692,4,9.3069,27.73,-127.07,31.2891,103.7079,0.8463200000000001,1.6295899999999999,377017.16836937645,3462362.470869187
573,3.5391,4,1.8614,27.73,-116.32,31.1658,103.767,1.02625,2.13168,382490.254335395,3448631.3847893514
574,3.5378,4,3.7228,27.73,-116.33,31.1943,103.7505,0.97428,2.08089,380953.2957687045,3451807.974260641
575,3.6056,4,5.5841,27.73,-116.31,31.223,103.7343,0.95038,1.9652,379446.1352402851,3455006.6712550414
576,2.691,4,7.4455,27.73,-116.16,31.2485,103.706,0.91999,1.7938,376783.5476416552,3457864.3700352195
577,2.5409,4,9.3069,27.73,-115.19,31.2759,103.6876,0.8975599999999999,1.7176900000000002,375067.44137449656,3460922.1504277117
578,3.54,4,1.8614,27.73,-116.33,31.1517,103.7337,1.04369,2.19075,379298.5201602565,3447104.363493152
579,3.5396,4,3.7228,27.73,-116.34,31.1802,103.7172,0.99476,2.13462,377762.25541656686,3450281.434012855
580,3.5392,4,5.5841,27.73,-116.34,31.2087,103.7007,0.9558099999999999,2.02463,376226.95887081354,3453458.7714868234
581,3.5393,4,7.4455,27.73,-116.35,31.2373,103.6841,0.932,1.8824100000000001,374683.2396279833,3456647.573970257
582,3.5444,4,9.3069,27.73,-116.36,31.2658,103.6676,0.9268,1.79524,373149.88746579865,3459825.447889577
